txn_id,customer_id,txn_date,product_id,qty,unit_price,country,segment
T1001,C201,2025-09-01,P001,2,1200,IN,Retail
T1002,C202,2025-09-01,P003,1,19999,IN,SMB
T1003,C203,2025-09-02,P006,1,12999,US,Enterprise
T1004,C204,2025-09-02,P008,3,8999,US,SMB
T1005,C205,2025-09-03,P002,2,4500,IN,Retail
T1006,C206,2025-09-03,P004,1,2999,IN,SMB
T1007,C207,2025-09-03,P007,1,3499,CN,SMB
T1008,C208,2025-09-04,P009,1,14999,US,Enterprise
T1009,C209,2025-09-04,P010,2,1999,CN,Retail
T1010,C210,2025-09-05,P005,1,3999,IN,Retail
T1011,C211,2025-09-05,P001,1,1200,US,SMB
T1012,C212,2025-09-05,P008,2,8999,CN,Enterprise
T1013,C213,2025-09-06,P003,1,18999,US,Retail
T1014,C214,2025-09-06,P006,2,12999,IN,Enterprise
